iter	Passed	Remaining
0	71	14205
1	92	9153
2	112	7408
3	133	6560
4	154	6023
5	175	5681
6	196	5429
7	216	5200
8	237	5038
9	257	4894
10	279	4798
11	296	4642
12	317	4568
13	337	4478
14	353	4360
15	373	4290
16	390	4199
17	408	4131
18	427	4077
19	448	4033
20	468	3992
21	487	3947
22	507	3905
23	526	3863
24	548	3836
25	566	3793
26	586	3760
27	602	3702
28	620	3661
29	639	3621
30	657	3583
31	673	3533
32	691	3497
33	706	3451
34	726	3426
35	745	3395
36	763	3363
37	779	3323
38	797	3290
39	815	3262
40	834	3234
41	853	3211
42	873	3188
43	892	3162
44	911	3138
45	931	3117
46	949	3089
47	969	3069
48	987	3042
49	1002	3006
50	1017	2972
51	1036	2950
52	1054	2923
53	1073	2903
54	1094	2885
55	1113	2863
56	1134	2846
57	1152	2821
58	1173	2805
59	1192	2783
60	1211	2760
61	1228	2734
62	1245	2708
63	1264	2686
64	1285	2669
65	1304	2648
66	1325	2631
67	1345	2611
68	1363	2588
69	1384	2570
70	1405	2553
71	1425	2533
72	1444	2513
73	1463	2491
74	1481	2469
75	1500	2448
76	1518	2425
77	1538	2405
78	1555	2382
79	1572	2359
80	1593	2341
81	1613	2322
82	1632	2300
83	1651	2281
84	1668	2257
85	1686	2235
86	1706	2216
87	1724	2195
88	1744	2176
89	1765	2158
90	1785	2138
91	1805	2119
92	1824	2099
93	1844	2079
94	1861	2057
95	1883	2040
96	1902	2020
97	1920	1999
98	1940	1979
99	1959	1959
100	1978	1939
101	1994	1916
102	2015	1897
103	2034	1877
104	2054	1859
105	2074	1840
106	2092	1818
107	2112	1799
108	2132	1780
109	2149	1758
110	2169	1739
111	2190	1720
112	2210	1701
113	2231	1683
114	2253	1665
115	2271	1644
116	2292	1626
117	2312	1606
118	2331	1586
119	2351	1567
120	2371	1548
121	2391	1529
122	2411	1509
123	2427	1487
124	2449	1469
125	2469	1450
126	2488	1430
127	2507	1410
128	2524	1389
129	2544	1369
130	2563	1350
131	2582	1330
132	2601	1310
133	2621	1291
134	2640	1271
135	2659	1251
136	2680	1232
137	2699	1212
138	2718	1192
139	2737	1173
140	2757	1153
141	2776	1134
142	2797	1115
143	2816	1095
144	2835	1075
145	2853	1055
146	2873	1035
147	2891	1015
148	2910	996
149	2926	975
150	2946	956
151	2964	936
152	2982	916
153	3002	896
154	3022	877
155	3042	858
156	3062	838
157	3081	819
158	3101	799
159	3120	780
160	3139	760
161	3158	740
162	3178	721
163	3196	701
164	3215	682
165	3234	662
166	3254	643
167	3273	623
168	3293	604
169	3312	584
170	3331	564
171	3350	545
172	3368	525
173	3388	506
174	3408	486
175	3427	467
176	3446	447
177	3465	428
178	3484	408
179	3503	389
180	3518	369
181	3538	349
182	3558	330
183	3577	311
184	3597	291
185	3615	272
186	3634	252
187	3653	233
188	3672	213
189	3692	194
190	3711	174
191	3729	155
192	3749	135
193	3767	116
194	3788	97
195	3804	77
196	3824	58
197	3839	38
198	3855	19
199	3874	0
